iteration,n_rounds,skill_ids,skill_names,t_start,t_end
11,25,"[2, 1, 1, 0, 1, 0, 1, 1, 0, 4, 0, 2, 2, 4, 0, 3, 2, 2, 4, 2, 2, 0, 4, 1, 0]","[""accelerate"", ""turn_right"", ""turn_right"", ""turn_left"", ""turn_right"", ""turn_left"", ""turn_right"", ""turn_right"", ""turn_left"", ""cruise"", ""turn_left"", ""accelerate"", ""accelerate"", ""cruise"", ""turn_left"", ""decelerate"", ""accelerate"", ""accelerate"", ""cruise"", ""accelerate"", ""accelerate"", ""turn_left"", ""cruise"", ""turn_right"", ""turn_left""]","[0, 10, 12, 15, 25, 29, 38, 43, 48, 56, 66, 73, 83, 93, 103, 110, 117, 127, 137, 147, 157, 167, 175, 185, 195]","[10, 12, 15, 25, 29, 38, 43, 48, 56, 66, 73, 83, 93, 103, 110, 117, 127, 137, 147, 157, 167, 175, 185, 195, 200]"
12,25,"[0, 1, 4, 0, 0, 0, 3, 4, 2, 1, 1, 1, 1, 1, 1, 3, 2, 2, 2, 2, 2, 2, 2, 2, 2]","[""turn_left"", ""turn_right"", ""cruise"", ""turn_left"", ""turn_left"", ""turn_left"", ""decelerate"", ""cruise"", ""accelerate"", ""turn_right"", ""turn_right"", ""turn_right"", ""turn_right"", ""turn_right"", ""turn_right"", ""decelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate""]","[0, 2, 6, 16, 18, 21, 27, 37, 47, 57, 62, 72, 82, 92, 102, 112, 119, 129, 139, 149, 159, 169, 179, 189, 199]","[2, 6, 16, 18, 21, 27, 37, 47, 57, 62, 72, 82, 92, 102, 112, 119, 129, 139, 149, 159, 169, 179, 189, 199, 200]"
13,27,"[1, 2, 1, 0, 4, 2, 0, 1, 1, 1, 0, 4, 2, 2, 0, 0, 3, 2, 1, 1, 1, 0, 2, 1, 4, 1, 4]","[""turn_right"", ""accelerate"", ""turn_right"", ""turn_left"", ""cruise"", ""accelerate"", ""turn_left"", ""turn_right"", ""turn_right"", ""turn_right"", ""turn_left"", ""cruise"", ""accelerate"", ""accelerate"", ""turn_left"", ""turn_left"", ""decelerate"", ""accelerate"", ""turn_right"", ""turn_right"", ""turn_right"", ""turn_left"", ""accelerate"", ""turn_right"", ""cruise"", ""turn_right"", ""cruise""]","[0, 3, 13, 17, 27, 37, 47, 57, 61, 67, 74, 82, 92, 102, 112, 117, 121, 127, 137, 143, 150, 157, 163, 173, 180, 190, 196]","[3, 13, 17, 27, 37, 47, 57, 61, 67, 74, 82, 92, 102, 112, 117, 121, 127, 137, 143, 150, 157, 163, 173, 180, 190, 196, 200]"
14,24,"[4, 2, 0, 1, 3, 2, 0, 4, 1, 1, 1, 1, 4, 1, 2, 0, 4, 3, 2, 4, 2, 0, 2, 0]","[""cruise"", ""accelerate"", ""turn_left"", ""turn_right"", ""decelerate"", ""accelerate"", ""turn_left"", ""cruise"", ""turn_right"", ""turn_right"", ""turn_right"", ""turn_right"", ""cruise"", ""turn_right"", ""accelerate"", ""turn_left"", ""cruise"", ""decelerate"", ""accelerate"", ""cruise"", ""accelerate"", ""turn_left"", ""accelerate"", ""turn_left""]","[0, 10, 20, 23, 33, 42, 52, 58, 68, 75, 82, 90, 98, 108, 115, 125, 133, 143, 151, 161, 171, 181, 185, 195]","[10, 20, 23, 33, 42, 52, 58, 68, 75, 82, 90, 98, 108, 115, 125, 133, 143, 151, 161, 171, 181, 185, 195, 200]"
15,23,"[1, 0, 4, 2, 2, 4, 4, 4, 0, 1, 2, 1, 2, 0, 0, 2, 1, 1, 4, 3, 2, 0, 3]","[""turn_right"", ""turn_left"", ""cruise"", ""accelerate"", ""accelerate"", ""cruise"", ""cruise"", ""cruise"", ""turn_left"", ""turn_right"", ""accelerate"", ""turn_right"", ""accelerate"", ""turn_left"", ""turn_left"", ""accelerate"", ""turn_right"", ""turn_right"", ""cruise"", ""decelerate"", ""accelerate"", ""turn_left"", ""decelerate""]","[0, 4, 9, 19, 29, 39, 49, 59, 69, 79, 86, 96, 104, 114, 121, 129, 139, 148, 156, 166, 174, 184, 191]","[4, 9, 19, 29, 39, 49, 59, 69, 79, 86, 96, 104, 114, 121, 129, 139, 148, 156, 166, 174, 184, 191, 200]"
16,24,"[1, 1, 1, 0, 2, 4, 1, 0, 2, 3, 2, 3, 2, 2, 1, 4, 0, 2, 1, 0, 4, 3, 2, 3]","[""turn_right"", ""turn_right"", ""turn_right"", ""turn_left"", ""accelerate"", ""cruise"", ""turn_right"", ""turn_left"", ""accelerate"", ""decelerate"", ""accelerate"", ""decelerate"", ""accelerate"", ""accelerate"", ""turn_right"", ""cruise"", ""turn_left"", ""accelerate"", ""turn_right"", ""turn_left"", ""cruise"", ""decelerate"", ""accelerate"", ""decelerate""]","[0, 3, 7, 13, 23, 33, 43, 50, 57, 67, 77, 87, 94, 104, 114, 121, 131, 141, 151, 158, 165, 175, 184, 194]","[3, 7, 13, 23, 33, 43, 50, 57, 67, 77, 87, 94, 104, 114, 121, 131, 141, 151, 158, 165, 175, 184, 194, 200]"
17,24,"[4, 1, 2, 1, 0, 4, 0, 2, 4, 4, 2, 4, 1, 2, 0, 2, 0, 3, 2, 2, 3, 2, 1, 0]","[""cruise"", ""turn_right"", ""accelerate"", ""turn_right"", ""turn_left"", ""cruise"", ""turn_left"", ""accelerate"", ""cruise"", ""cruise"", ""accelerate"", ""cruise"", ""turn_right"", ""accelerate"", ""turn_left"", ""accelerate"", ""turn_left"", ""decelerate"", ""accelerate"", ""accelerate"", ""decelerate"", ""accelerate"", ""turn_right"", ""turn_left""]","[0, 10, 12, 22, 26, 36, 46, 56, 66, 76, 86, 89, 99, 106, 116, 123, 133, 141, 151, 161, 171, 181, 191, 198]","[10, 12, 22, 26, 36, 46, 56, 66, 76, 86, 89, 99, 106, 116, 123, 133, 141, 151, 161, 171, 181, 191, 198, 200]"
18,25,"[1, 2, 0, 2, 4, 0, 0, 0, 1, 4, 2, 1, 4, 1, 0, 4, 0, 3, 2, 2, 2, 3, 1, 1, 2]","[""turn_right"", ""accelerate"", ""turn_left"", ""accelerate"", ""cruise"", ""turn_left"", ""turn_left"", ""turn_left"", ""turn_right"", ""cruise"", ""accelerate"", ""turn_right"", ""cruise"", ""turn_right"", ""turn_left"", ""cruise"", ""turn_left"", ""decelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""decelerate"", ""turn_right"", ""turn_right"", ""accelerate""]","[0, 2, 12, 22, 32, 42, 52, 62, 72, 79, 89, 99, 107, 117, 124, 130, 140, 147, 157, 167, 177, 178, 188, 192, 198]","[2, 12, 22, 32, 42, 52, 62, 72, 79, 89, 99, 107, 117, 124, 130, 140, 147, 157, 167, 177, 178, 188, 192, 198, 200]"
19,25,"[1, 4, 2, 1, 1, 4, 0, 4, 1, 1, 4, 1, 2, 0, 2, 1, 1, 1, 1, 0, 0, 2, 3, 1, 2]","[""turn_right"", ""cruise"", ""accelerate"", ""turn_right"", ""turn_right"", ""cruise"", ""turn_left"", ""cruise"", ""turn_right"", ""turn_right"", ""cruise"", ""turn_right"", ""accelerate"", ""turn_left"", ""accelerate"", ""turn_right"", ""turn_right"", ""turn_right"", ""turn_right"", ""turn_left"", ""turn_left"", ""accelerate"", ""decelerate"", ""turn_right"", ""accelerate""]","[0, 2, 12, 22, 32, 42, 52, 60, 70, 76, 81, 91, 97, 107, 114, 124, 132, 142, 152, 162, 168, 173, 183, 193, 197]","[2, 12, 22, 32, 42, 52, 60, 70, 76, 81, 91, 97, 107, 114, 124, 132, 142, 152, 162, 168, 173, 183, 193, 197, 200]"
20,15,"[4, 3, 2, 1, 1, 4, 1, 4, 0, 2, 4, 1, 2, 2, 3]","[""cruise"", ""decelerate"", ""accelerate"", ""turn_right"", ""turn_right"", ""cruise"", ""turn_right"", ""cruise"", ""turn_left"", ""accelerate"", ""cruise"", ""turn_right"", ""accelerate"", ""accelerate"", ""decelerate""]","[0, 10, 13, 23, 30, 40, 50, 60, 70, 76, 86, 96, 106, 116, 118]","[10, 13, 23, 30, 40, 50, 60, 70, 76, 86, 96, 106, 116, 118, 124]"
