iteration,steps_collected,episode_return_mean,safe_reach_ratio,conv_eval_success_delta_w5,high_samples,low_samples,loss_high_total,loss_low_mean,eval_n_episodes,eval_success_rate,eval_reach_rate,eval_collision_rate,eval_safe_reach_ratio,eval_min_h_agent,eval_min_h_obstacle,eval_avg_traj_length,eval_avg_skill_switches,eval_qp_feasible_rate,eval_avg_steps,eval_avg_episode_return
126.0,200.0,13.514399342751126,0.5,nan,40.0,800.0,10.15501093864441,0.05854360565153627,,,,,,,,,,,,
127.0,73.0,5.3791110811568785,0.5,nan,16.0,292.0,7.735186457633972,0.054944742097120525,,,,,,,,,,,,
128.0,200.0,40.851228943142644,1.0,nan,40.0,800.0,37.96774673461914,0.004546303844129795,,,,,,,,,,,,
129.0,200.0,43.26313418485225,0.75,nan,44.0,800.0,19.308034420013428,0.004185237455251206,,,,,,,,,,,,
130.0,107.0,0.2067215371131894,0.0,0.0,24.0,428.0,0.4807915687561035,0.03259037808315135,1.0,0.0,0.0,0.25,0.0,8.517991065979004,-0.07390600442886353,5.292496215784922,4.0,1.0,61.0,0.14283575057983403
131.0,83.0,-0.3021694929525255,0.0,nan,20.0,332.0,0.7935180366039276,0.0831295840555697,,,,,,,,,,,,
132.0,108.0,0.48296108663082105,0.0,nan,24.0,432.0,0.4924827143549919,0.06784661748358012,,,,,,,,,,,,
133.0,200.0,26.671691954322164,0.75,nan,40.0,800.0,6.572555303573608,0.024572565420712067,,,,,,,,,,,,
134.0,119.0,0.830342195779085,0.25,nan,24.0,476.0,0.3708798363804817,0.04744984395875651,,,,,,,,,,,,
135.0,194.0,25.065941590946167,1.0,nan,40.0,776.0,38.6218147277832,0.005500054185340275,,,,,,,,,,,,
136.0,200.0,15.127021761145443,0.5,nan,44.0,800.0,5.076007008552551,0.03068272810628514,,,,,,,,,,,,
137.0,200.0,32.84927674168722,1.0,nan,40.0,800.0,6.495445489883423,0.008798129532820553,,,,,,,,,,,,
138.0,62.0,0.18968825817108156,0.0,nan,16.0,248.0,0.49018681794404984,0.02013567530479539,,,,,,,,,,,,
139.0,133.0,14.291847238810734,1.0,nan,28.0,532.0,14.071525812149048,0.02006539775847216,,,,,,,,,,,,
140.0,193.0,14.008878868147738,0.5,0.0,40.0,772.0,16.02450942993164,0.037740653324993545,1.0,0.0,0.0,0.25,0.0,3.06966233253479,-0.009502232074737549,6.245401179534383,4.0,1.0,77.0,0.1712410095334052
141.0,200.0,65.04694091271378,0.75,nan,40.0,800.0,19.66909694671631,0.0013492873401008687,,,,,,,,,,,,
142.0,200.0,29.374560687202035,0.75,nan,40.0,800.0,22.668126106262207,0.028597943262189673,,,,,,,,,,,,
143.0,95.0,5.717565106041728,0.5,nan,20.0,380.0,3.6772011518478394,0.03456635392932084,,,,,,,,,,,,
144.0,166.0,5.785881574042142,1.0,nan,36.0,664.0,1.3257167041301727,0.02900726619213856,,,,,,,,,,,,
145.0,200.0,6.055709490459412,0.5,nan,40.0,800.0,6.928778052330017,0.01700156004698883,,,,,,,,,,,,
146.0,196.0,43.52396154360381,1.0,nan,40.0,784.0,30.115578651428223,0.01388289012268018,,,,,,,,,,,,
147.0,105.0,4.494138892181217,0.25,nan,24.0,420.0,8.435873746871948,0.02558247603344732,,,,,,,,,,,,
148.0,200.0,34.28729384521722,0.75,nan,40.0,800.0,13.735790014266968,0.010265676934943624,,,,,,,,,,,,
149.0,124.0,6.177486651102082,0.5,nan,28.0,496.0,5.655720472335815,0.04448461479385202,,,,,,,,,,,,
