iteration,episode_return_mean,train_success_rate,train_collision_rate,high_samples,loss_high_total,loss_high_actor,loss_high_value,high_entropy,high_approx_kl,high_clip_frac,high_entropy_coef,eval_episode_return_mean,eval_success_rate,eval_collision_rate,eval_steps_mean
14.0,-0.7166646409034729,0.0,1.0,92.0,-0.04408957180567086,-0.018804314080625772,0.002086192514980212,0.5345199070870876,0.00885276566259563,0.03599330456927419,0.049256080114449215,,,,
15.0,-0.7032978558540344,0.0,1.0,98.0,-0.06626413064077497,-0.045454774517565966,0.0017885938432300463,0.4411415010690689,-0.003615595691371709,0.009306066203862429,0.049198855507868386,,,,
16.0,-0.7020062696933747,0.0,1.0,102.0,-0.010684421518817544,0.006659655133262277,0.001087370968889445,0.364004235714674,-0.00396777084824862,0.005242598708719015,0.04914163090128756,,,,
17.0,-0.7056586933135987,0.0,1.0,109.0,-0.02828493621200323,-0.012070567754562944,0.000793518585851416,0.33841967582702637,0.000829881186291459,0.001953125,0.04908440629470673,,,,
18.0,-0.7169460880756379,0.0,1.0,90.0,-0.02785452431999147,-0.01131189263833221,0.0010461973979545292,0.3480871394276619,-0.001564884110564435,0.0,0.0490271816881259,,,,
19.0,-0.7063714182376861,0.0,1.0,93.0,0.008171842782758176,0.022388637997210026,0.0007960877774166875,0.2984449900686741,0.005731347479013493,0.03481950471177697,0.048969957081545064,,,,
20.0,-0.695943182706833,0.0,1.0,106.0,-0.021870640222914517,-0.010874765808694065,0.0004954555406584404,0.2298706602305174,0.0019300468047731556,0.02260044659487903,0.048912732474964235,-0.691652626991272,0.0,1.0,27.0
21.0,-0.6930136096477508,0.0,1.0,109.0,-0.01920342247467488,-0.009526522131636739,0.00044168562089907937,0.20259210281074047,-0.00046346932504093274,0.0,0.048855507868383406,,,,
22.0,-0.6987484014034271,0.0,1.0,108.0,-0.012172209215350449,-0.0018753185868263245,0.0005550511268666014,0.2166964951902628,0.002180682735342998,0.0,0.04879828326180258,,,,
23.0,-0.7006718754768372,0.0,1.0,110.0,-0.02456537785474211,-0.014626981224864721,0.00043203934910707176,0.208333944901824,-9.462709931540303e-05,0.004670516354963183,0.04874105865522175,,,,
24.0,-0.6929948198795319,0.0,1.0,112.0,-0.0034116357564926147,0.0049663546233205125,0.000265255903286743,0.17481404170393944,-0.0006486588881671196,0.001953125,0.04868383404864092,,,,
25.0,-0.6963603258132935,0.0,1.0,104.0,0.013019070378504694,0.019527982105500996,0.00042118334022234194,0.13818574976176023,0.0026842831684916746,0.007031250046566129,0.04862660944206009,,,,
26.0,-0.7062363648414611,0.0,1.0,107.0,-0.023437911877408624,-0.01889398950152099,0.0004478288028622046,0.0981654655188322,0.0034035673743346706,0.016578851733356714,0.048569384835479255,,,,
27.0,-0.6915326309204102,0.0,1.0,112.0,-0.010688972659409046,-0.007032625377178192,0.000318989068546216,0.07865743152797222,-0.0008464011661999393,0.0,0.04851216022889843,,,,
28.0,-0.6915326309204102,0.0,1.0,112.0,0.0034435188863426447,0.0070408484898507595,0.0002494713653504732,0.07681499887257814,0.0001568555201956201,0.0,0.0484549356223176,,,,
29.0,-0.6919841361045838,0.0,1.0,112.0,-0.006940124090760946,-0.0032134439097717404,0.00019911837171093794,0.07905833702534437,6.314679467323003e-06,0.0,0.04839771101573677,,,,
30.0,-0.6937463712692261,0.0,1.0,108.0,-0.010063360910862684,-0.006839480716735125,0.00023149246226239484,0.06908547738566995,0.001994757942156866,0.005681818351149559,0.04834048640915594,,,,
31.0,-0.6984512460231782,0.0,1.0,105.0,0.003511960618197918,0.005663563031703234,0.0005149208445800468,0.049894345458596945,0.005054900258983253,0.014148246496915817,0.04828326180257511,,,,
32.0,-0.6915326309204102,0.0,1.0,112.0,-0.003128464857582003,-0.0015145998331718147,0.0003395058556634467,0.03698452142998576,-0.0005588761250692187,0.0,0.04822603719599428,,,,
