iteration,n_rounds,skill_ids,skill_names,t_start,t_end
47,17,"[0, 2, 4, 0, 2, 1, 0, 1, 1, 2, 2, 1, 1, 2, 2, 3, 4]","[""turn_left"", ""accelerate"", ""cruise"", ""turn_left"", ""accelerate"", ""turn_right"", ""turn_left"", ""turn_right"", ""turn_right"", ""accelerate"", ""accelerate"", ""turn_right"", ""turn_right"", ""accelerate"", ""accelerate"", ""decelerate"", ""cruise""]","[0, 7, 27, 47, 61, 80, 93, 108, 121, 134, 145, 146, 160, 176, 177, 178, 198]","[7, 27, 47, 61, 80, 93, 108, 121, 134, 145, 146, 160, 176, 177, 178, 198, 200]"
48,11,"[0, 2, 2, 0, 1, 0, 0, 1, 0, 2, 0]","[""turn_left"", ""accelerate"", ""accelerate"", ""turn_left"", ""turn_right"", ""turn_left"", ""turn_left"", ""turn_right"", ""turn_left"", ""accelerate"", ""turn_left""]","[0, 4, 24, 44, 56, 73, 85, 99, 115, 129, 130]","[4, 24, 44, 56, 73, 85, 99, 115, 129, 130, 135]"
49,12,"[0, 2, 0, 2, 4, 0, 0, 1, 3, 0, 0, 1]","[""turn_left"", ""accelerate"", ""turn_left"", ""accelerate"", ""cruise"", ""turn_left"", ""turn_left"", ""turn_right"", ""decelerate"", ""turn_left"", ""turn_left"", ""turn_right""]","[0, 3, 23, 33, 50, 70, 81, 93, 107, 127, 133, 140]","[3, 23, 33, 50, 70, 81, 93, 107, 127, 133, 140, 145]"
50,9,"[0, 2, 0, 0, 0, 0, 1, 0, 0]","[""turn_left"", ""accelerate"", ""turn_left"", ""turn_left"", ""turn_left"", ""turn_left"", ""turn_right"", ""turn_left"", ""turn_left""]","[0, 3, 23, 34, 49, 69, 89, 101, 121]","[3, 23, 34, 49, 69, 89, 101, 121, 122]"
51,13,"[1, 2, 2, 4, 4, 2, 1, 2, 0, 2, 4, 2, 4]","[""turn_right"", ""accelerate"", ""accelerate"", ""cruise"", ""cruise"", ""accelerate"", ""turn_right"", ""accelerate"", ""turn_left"", ""accelerate"", ""cruise"", ""accelerate"", ""cruise""]","[0, 5, 25, 45, 65, 85, 88, 107, 115, 130, 139, 159, 162]","[5, 25, 45, 65, 85, 88, 107, 115, 130, 139, 159, 162, 171]"
52,12,"[0, 2, 0, 0, 0, 0, 1, 0, 0, 2, 0, 0]","[""turn_left"", ""accelerate"", ""turn_left"", ""turn_left"", ""turn_left"", ""turn_left"", ""turn_right"", ""turn_left"", ""turn_left"", ""accelerate"", ""turn_left"", ""turn_left""]","[0, 5, 25, 32, 52, 72, 92, 103, 123, 143, 163, 183]","[5, 25, 32, 52, 72, 92, 103, 123, 143, 163, 183, 200]"
53,13,"[0, 2, 2, 0, 0, 0, 0, 0, 0, 0, 4, 1, 0]","[""turn_left"", ""accelerate"", ""accelerate"", ""turn_left"", ""turn_left"", ""turn_left"", ""turn_left"", ""turn_left"", ""turn_left"", ""turn_left"", ""cruise"", ""turn_right"", ""turn_left""]","[0, 4, 24, 44, 56, 68, 80, 93, 107, 123, 141, 161, 175]","[4, 24, 44, 56, 68, 80, 93, 107, 123, 141, 161, 175, 182]"
54,14,"[1, 2, 1, 3, 2, 2, 4, 2, 1, 1, 1, 0, 3, 4]","[""turn_right"", ""accelerate"", ""turn_right"", ""decelerate"", ""accelerate"", ""accelerate"", ""cruise"", ""accelerate"", ""turn_right"", ""turn_right"", ""turn_right"", ""turn_left"", ""decelerate"", ""cruise""]","[0, 6, 26, 39, 47, 67, 76, 96, 97, 115, 132, 147, 167, 181]","[6, 26, 39, 47, 67, 76, 96, 97, 115, 132, 147, 167, 181, 200]"
55,12,"[0, 4, 3, 2, 0, 0, 4, 1, 1, 4, 0, 0]","[""turn_left"", ""cruise"", ""decelerate"", ""accelerate"", ""turn_left"", ""turn_left"", ""cruise"", ""turn_right"", ""turn_right"", ""cruise"", ""turn_left"", ""turn_left""]","[0, 9, 29, 32, 52, 71, 89, 109, 120, 140, 160, 180]","[9, 29, 32, 52, 71, 89, 109, 120, 140, 160, 180, 200]"
56,14,"[0, 2, 2, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1]","[""turn_left"", ""accelerate"", ""accelerate"", ""turn_left"", ""turn_right"", ""turn_left"", ""turn_right"", ""turn_left"", ""turn_left"", ""turn_left"", ""turn_left"", ""turn_left"", ""turn_left"", ""turn_right""]","[0, 3, 23, 43, 56, 71, 85, 100, 114, 128, 142, 157, 172, 188]","[3, 23, 43, 56, 71, 85, 100, 114, 128, 142, 157, 172, 188, 200]"
