fast_ma,slow_ma,stop_atr,rr,risk_per_trade,atr_window,breakout_window,trades,win_rate,payoff_ratio,profit_factor,max_drawdown,total_return,annual_return,sharpe,case_id,score
20,60,1.5,1.5,0.01,14,20,79,0.45569620253164556,1.3076526109134539,1.0947789300670776,-0.05482822812774524,0.029177857142854258,0.4346855793885973,1.4879235438507743,26,1.1496126201749473
10,40,1.5,2.0,0.005,14,20,43,0.4186046511627907,1.5311326855285325,1.1024155335805434,-0.026550787630522432,0.01048285714285635,0.13982708496994878,1.0840795717629679,3,0.8409454826817384
20,60,2.0,2.0,0.01,14,20,42,0.3333333333333333,2.2064479459408135,1.1032239729704068,-0.0374889453514331,0.01765999999999912,0.24570449377403025,1.0812162998616102,32,0.8348730878626149
20,40,2.0,1.5,0.01,14,20,51,0.43137254901960786,1.4202916548171933,1.0774626346889054,-0.04687795315984744,0.0146585714285703,0.20037241794613614,0.9211081936172375,22,0.7301453348623971
10,40,1.5,1.5,0.005,14,20,56,0.44642857142857145,1.2743460285506996,1.0276984101215318,-0.036337154013789896,0.0024960714285702235,0.03178160637409744,0.33276361441835856,1,0.32727378112950467
10,60,1.5,2.0,0.01,14,20,65,0.35384615384615387,1.7891039285367083,0.9797473894367689,-0.061022664927106174,-0.007863571428573413,-0.09432885917337497,-0.1839653357095879,12,-0.12446474422572097
10,60,2.0,2.0,0.01,14,20,45,0.3333333333333333,1.9237355725098826,0.9618677862549413,-0.06364115920094382,-0.008280000000001286,-0.09908808046577156,-0.32354099309463463,16,-0.22299352494592908
10,60,1.5,1.5,0.01,14,20,83,0.40963855421686746,1.3935769259618218,0.9669717445449377,-0.076487513577711,-0.014537857142860044,-0.16789065072457,-0.5563809999877393,10,-0.4027906165129187
20,60,2.0,1.5,0.01,14,20,48,0.3333333333333333,1.8786638793755144,0.9393319396877572,-0.045366103430619864,-0.012811428571429806,-0.14940918168900008,-0.6401867686037604,30,-0.404746242467687
10,60,2.0,1.5,0.01,14,20,50,0.38,1.531773059557489,0.938828649406203,-0.049106943202147146,-0.012987142857144196,-0.15130732916298084,-0.6496866213312049,14,-0.4050072838755723
20,40,1.5,2.0,0.005,14,20,42,0.30952380952380953,1.9100880106832412,0.8562463496166254,-0.04280654879941059,-0.017365714285715095,-0.1973662415825982,-1.7913403883783436,19,-1.128942156002144
20,40,2.0,1.5,0.005,14,20,17,0.35294117647058826,1.282624927666081,0.6996135969087715,-0.03686971545027973,-0.015665714285714283,-0.17976404297923054,-2.487162855028261,21,-1.5191683968451866
10,60,1.5,2.0,0.005,14,20,39,0.28205128205128205,1.9971607642851108,0.7845988716834364,-0.033476755613953246,-0.024288571428572436,-0.265516677510768,-2.6143091464038175,11,-1.6574250994420752
20,60,1.5,1.5,0.005,14,20,49,0.3673469387755102,1.4191499541561468,0.8240225540261497,-0.033089048760539974,-0.02300071428571515,-0.25325668729798345,-2.756686666328582,25,-1.7067891736985592
20,40,1.5,1.5,0.005,14,20,52,0.36538461538461536,1.4382968339184654,0.8281102983166924,-0.049723443867726536,-0.023654642857143693,-0.25950522050093894,-2.7624732713209728,17,-1.7478378081396797
10,60,2.0,2.0,0.005,14,20,13,0.23076923076923078,2.0006629101756626,0.6001988730526987,-0.021442006983236395,-0.017491428571428602,-0.19865401061237398,-2.8816659897403363,15,-1.777591466355842
20,60,1.5,2.0,0.005,14,20,37,0.2972972972972973,1.780417942735052,0.7532537450032912,-0.033457613049015955,-0.026930000000000898,-0.2900846814004193,-2.850032500330157,27,-1.8116628498567777
10,60,1.5,1.5,0.005,14,20,48,0.3541666666666667,1.4473907496699459,0.7937304111093251,-0.039258248857805045,-0.026760714285715137,-0.28853312403021814,-3.180474248352946,9,-2.001428811886202
20,60,2.0,2.0,0.005,14,20,16,0.25,1.5697415711107248,0.5232471903702416,-0.02633919662456874,-0.024197142857142695,-0.26465245376104063,-3.9278051480783542,31,-2.4533819797204934
10,60,2.0,1.5,0.005,14,20,13,0.23076923076923078,1.4935366257871943,0.44806098773615827,-0.025186318254266205,-0.02404857142857164,-0.2632460939377921,-4.256316307306062,13,-2.6568200308460224
20,60,2.0,1.5,0.005,14,20,15,0.26666666666666666,1.1228852683624135,0.4083219157681504,-0.029590756117820693,-0.028678571428571442,-0.3059296980874894,-5.001755438594556,29,-3.131890108175396
